size of numTable: 10000
Amicable: 25 and 6
Amicable: 10 and 49
Amicable: 27 and 35
Amicable: 169 and 22
Amicable: 16 and 33
Amicable: 26 and 12
Amicable: 39 and 55
Amicable: 65 and 77
Amicable: 34 and 361
Amicable: 18 and 51
Amicable: 91 and 18
Amicable: 20 and 38
Amicable: 57 and 85
Amicable: 119 and 143
Amicable: 95 and 119
Amicable: 133 and 69
Amicable: 187 and 115
Amicable: 209 and 221
Amicable: 32 and 209
Amicable: 161 and 32
Amicable: 125 and 161
Amicable: 961 and 58
Amicable: 247 and 45
Amicable: 87 and 247
Amicable: 253 and 93
Amicable: 145 and 253
Amicable: 299 and 323
Amicable: 155 and 299
Amicable: 203 and 155
Amicable: 74 and 44
Amicable: 81 and 74
Amicable: 111 and 63
Amicable: 391 and 111
Amicable: 319 and 391
Amicable: 30 and 1681
Amicable: 377 and 437
Amicable: 50 and 377
Amicable: 341 and 50
Amicable: 185 and 341
Amicable: 1849 and 82
Amicable: 123 and 403
Amicable: 259 and 123
Amicable: 52 and 86
Amicable: 493 and 205
Amicable: 129 and 493
Amicable: 527 and 287
Amicable: 407 and 527
Amicable: 551 and 407
Amicable: 215 and 551
Amicable: 75 and 215
Amicable: 40 and 94
Amicable: 301 and 589
Amicable: 481 and 301
Amicable: 141 and 481
Amicable: 667 and 235
Amicable: 451 and 667
Amicable: 42 and 2809
Amicable: 329 and 473
Amicable: 533 and 329
Amicable: 629 and 533
Amicable: 36 and 629
Amicable: 713 and 36
Amicable: 159 and 559
Amicable: 99 and 159
Amicable: 703 and 99
Amicable: 343 and 703
Amicable: 265 and 697
Amicable: 517 and 265
Amicable: 899 and 851
Amicable: 371 and 899
Amicable: 779 and 371
Amicable: 731 and 779
Amicable: 611 and 731
Amicable: 3721 and 118
Amicable: 64 and 177
Amicable: 817 and 64
Amicable: 122 and 56
Amicable: 76 and 122
Amicable: 117 and 295
Amicable: 183 and 117
Amicable: 799 and 183
Amicable: 943 and 799
Amicable: 583 and 943
Amicable: 413 and 689
Amicable: 989 and 413
Amicable: 305 and 989
Amicable: 893 and 305
Amicable: 1073 and 893
Amicable: 427 and 1147
Amicable: 901 and 201
Amicable: 649 and 901
Amicable: 1189 and 649
Amicable: 1081 and 1189
Amicable: 671 and 1007
Amicable: 767 and 671
Amicable: 175 and 767
Amicable: 335 and 175
Amicable: 98 and 335
Amicable: 1271 and 98
Amicable: 1247 and 1271
Amicable: 70 and 5329
Amicable: 142 and 70
Amicable: 793 and 1333
Amicable: 213 and 793
Amicable: 469 and 213
Amicable: 48 and 146
Amicable: 92 and 48
Amicable: 1003 and 219
Amicable: 355 and 1003
Amicable: 1363 and 355
Amicable: 1219 and 1363
Amicable: 1517 and 497
Amicable: 1457 and 1517
Amicable: 365 and 1457
Amicable: 737 and 365
Amicable: 1121 and 737
Amicable: 1037 and 1121
Amicable: 153 and 871
Amicable: 511 and 153
Amicable: 147 and 511
Amicable: 1591 and 147
Amicable: 1159 and 1591
Amicable: 237 and 781
Amicable: 1537 and 237
Amicable: 1357 and 1537
Amicable: 1739 and 1763
Amicable: 1139 and 1739
Amicable: 1643 and 1139
Amicable: 803 and 1643
Amicable: 1403 and 803
Amicable: 395 and 1403
Amicable: 923 and 395
Amicable: 553 and 1273
Amicable: 105 and 553
Amicable: 249 and 105
Amicable: 949 and 249
Amicable: 415 and 171
Amicable: 1207 and 415
Amicable: 1927 and 1207
Amicable: 1711 and 1927
Amicable: 78 and 7921
Amicable: 1829 and 2021
Amicable: 1349 and 1829
Amicable: 581 and 1349
Amicable: 1961 and 581
Amicable: 1241 and 1961
Amicable: 869 and 1241
Amicable: 1541 and 869
Amicable: 1769 and 1541
Amicable: 178 and 88
Amicable: 1891 and 1027
Amicable: 1387 and 1891
Amicable: 267 and 1387
Amicable: 1633 and 445
Amicable: 913 and 1633
Amicable: 2173 and 913
Amicable: 2183 and 1943
Amicable: 623 and 2183
Amicable: 1079 and 623
Amicable: 1343 and 1079
Amicable: 2279 and 1343
Amicable: 1679 and 2279
Amicable: 275 and 1679
Amicable: 245 and 275
Amicable: 2077 and 1501
Amicable: 2257 and 2077
Amicable: 194 and 124
Amicable: 979 and 291
Amicable: 2491 and 979
Amicable: 2059 and 2491
Amicable: 2419 and 2059
Amicable: 1411 and 2419
Amicable: 2537 and 2501
Amicable: 1157 and 2537
Amicable: 1577 and 1157
Amicable: 2117 and 1577
Amicable: 1817 and 2117
Amicable: 2201 and 1817
Amicable: 485 and 2201
Amicable: 679 and 207
Amicable: 2623 and 679
Amicable: 303 and 2623
Amicable: 2263 and 303
Amicable: 2479 and 2263
Amicable: 135 and 2479
Amicable: 110 and 80
Amicable: 104 and 110
Amicable: 206 and 104
Amicable: 1909 and 309
Amicable: 2773 and 1909
Amicable: 505 and 2773
Amicable: 1513 and 505
Amicable: 1691 and 2867
Amicable: 2291 and 1691
Amicable: 2627 and 2291
Amicable: 325 and 2627
Amicable: 2747 and 325
Amicable: 515 and 2747
Amicable: 1067 and 515
Amicable: 707 and 1067
Amicable: 2701 and 321
Amicable: 721 and 2701
Amicable: 2449 and 721
Amicable: 2881 and 2449
Amicable: 1261 and 2881
Amicable: 2407 and 2911
Amicable: 327 and 2407
Amicable: 1111 and 327
Amicable: 2047 and 1111
Amicable: 535 and 2047
Amicable: 3127 and 535
Amicable: 3233 and 2993
